Strain,GISAID Clade,Age,Clade,Country,Country of exposure,Admin Division,genbank_accession,gisaid_epi_isl,Host,Old Nextstrain clade,Originating Lab,Pangolin lineage,Submission Date,Region,Region of exposure,Sex,Submitting Lab,url,Collection Date,Author,Division of exposure,Location
Brazil/SPBR-01/2020,G,61,20A,South America,Europe,South America,,EPI_ISL_412964,Human,A2a,Hospital Israelita Albert Einstein,B.1,Older,South America,Europe,Male,Instituto Adolfo Lutz Interdisciplinary Procedures Center Strategic Laboratory,,2020-02-25,Jaqueline Goes de Jesus et al (https://virological.org/t/first-cases-of-coronavirus-disease-covid-19-in-brazil-south-america-2-genomes-3rd-march-2020/409),Europe,
Brazil/SPBR-02/2020,V,32,19A,South America,Europe,South America,MT126808,EPI_ISL_413016,Human,A1a,Hospital Israelita Albert Einstein,B.2,Older,South America,Europe,Male,"Instituto Adolfo Lutz, Interdisciplinary Procedures Center, Strategic Laboratory",,2020-02-28,Jaqueline Goes de Jesus et al (https://virological.org/t/first-cases-of-coronavirus-disease-covid-19-in-brazil-south-america-2-genomes-3rd-march-2020/409),Europe,
Brazil/SPBR-04/2020,GR,13,20B,South America,Europe,South America,,EPI_ISL_414017,Human,A2a,Hospital São Joaquim Beneficencia Portuguesa,B.1.1,Older,South America,Europe,Female,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory",,2020-03-04,Claudio Tavares Sacchi et al B (https://dx.doi.org/10.1590/s1678-9946202062030),Europe,
Brazil/SPBR-05/2020,G,37,20A,South America,South America,South America,,EPI_ISL_414016,Human,A2a,Hospital São Joaquim Beneficencia Portuguesa,B.1,Older,South America,South America,Female,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory",,2020-02-29,Claudio Tavares Sacchi et al B (https://dx.doi.org/10.1590/s1678-9946202062030),,
Brazil/SPBR-06/2020,G,69,20A,South America,South America,South America,,EPI_ISL_414015,Human,A2a,Hospital São Joaquim Beneficencia Portuguesa,B.1,Older,South America,South America,Female,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory",,2020-02-29,Claudio Tavares Sacchi et al B (https://dx.doi.org/10.1590/s1678-9946202062030),,
Brazil/SPBR-13/2020,GR,34,20B,South America,South America,South America,,EPI_ISL_416035,Human,A2a,National Influenza Center - Instituto Adolfo Lutz,B.1.1,Older,South America,South America,Male,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory",,2020-03-05,Claudio Tavares Sacchi et al C (https://dx.doi.org/10.1101/2020.05.23.20111443),,
Brunei/1/2020,O,53,19A,Asia,Asia,Asia,,EPI_ISL_443187,Human,,National Virology Reference Laboratory,B.6,Older,Asia,Asia,Male,"National Public Health Laboratory, National Centre for Infectious Diseases",,2020-03-11,Mak Tze Minn et al,,
Brunei/2/2020,O,12,19A,Asia,Asia,Asia,,EPI_ISL_435674,Human,,National Virology Reference Laboratory,B.6,Older,Asia,Asia,Male,"National Public Health Laboratory, National Centre for Infectious Diseases",,2020-03-11,Mak Tze Minn et al,,
Brunei/3/2020,O,5,19A,Asia,Asia,Asia,,EPI_ISL_435675,Human,,National Virology Reference Laboratory,B.6,Older,Asia,Asia,Male,"National Public Health Laboratory, National Centre for Infectious Diseases",,2020-03-11,Mak Tze Minn et al,,
Brunei/4/2020,O,54,19A,Asia,Asia,Asia,,EPI_ISL_435676,Human,,National Virology Reference Laboratory,B.6,Older,Asia,Asia,Female,"National Public Health Laboratory, National Centre for Infectious Diseases",,2020-03-21,Mak Tze Minn et al,,
Bucuresti/ChVir7245/2020,GR,,20B,Europe,Europe,Europe,,EPI_ISL_467779,Human,A2a,National Influenza Centre Romania,B.1.1,3-7 days ago,Europe,Europe,,"Charite Universitatsmedizin Berlin, Institute of Virology",,2020-04-27,Victor M Corman et al B,,
Cambodia/0012/2020,L,60,19A,Asia,Asia,Asia,,EPI_ISL_411902,Human,,"Virology Unit, Institut Pasteur du Cambodge.",B,Older,Asia,Asia,Male,"Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)",,2020-01-27,Erik A Karlsson et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305),,
Canada/BC_02421/2020,O,60,19A,Canada,Asia,British Columbia,,EPI_ISL_415581,Human,A3,BCCDC Public Health Laboratory,B.4,Older,North America,Asia,Male,BCCDC Public Health Laboratory,,2020-03-01,Harrigan et al A,Asia,
Canada/BC_0443574/2020,S,28,19B,Canada,Canada,British Columbia,,EPI_ISL_418816,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,,BCCDC Public Health Laboratory,,2020-03-11,Harrigan et al A,,
Canada/BC_0554880/2020,S,58,19B,Canada,Canada,British Columbia,,EPI_ISL_418817,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-13,Harrigan et al A,,
Canada/BC_1318414/2020,S,60,19B,Canada,Canada,British Columbia,,EPI_ISL_418818,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-06,Harrigan et al A,,
Canada/BC_13297/2020,O,54,19A,Canada,Asia,British Columbia,,EPI_ISL_415578,Human,A3,BCCDC Public Health Laboratory,B.4,Older,North America,Asia,Male,BCCDC Public Health Laboratory,,2020-02-27,Harrigan et al A,Asia,
Canada/BC_17397/2020,O,57,19A,Canada,Asia,British Columbia,,EPI_ISL_415580,Human,A3,BCCDC Public Health Laboratory,B.4,Older,North America,Asia,,BCCDC Public Health Laboratory,,2020-02-28,Harrigan et al A,Asia,
Canada/BC_25211/2020,O,33,19A,Canada,Asia,British Columbia,,EPI_ISL_415579,Human,A3,BCCDC Public Health Laboratory,B.4,Older,North America,Asia,Female,BCCDC Public Health Laboratory,,2020-03-02,Harrigan et al A,Asia,
Canada/BC_35720/2020,O,80,19A,Canada,Asia,British Columbia,,EPI_ISL_415582,Human,,BCCDC Public Health Laboratory,B.7,Older,North America,Asia,Female,BCCDC Public Health Laboratory,,2020-03-04,Harrigan et al A,Asia,
Canada/BC_37_0-2/2020,O,35,19A,Canada,Asia,British Columbia,,EPI_ISL_412965,Human,A3,BCCDC Public Health Laboratory,B.4,Older,North America,Asia,Female,BCCDC Public Health Laboratory,,2020-02-16,Harrigan et al B (https://dx.doi.org/10.1002/jmv.25773),Asia,
Canada/BC_3808524/2020,S,37,19B,Canada,Canada,British Columbia,,EPI_ISL_418819,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-09,Harrigan et al A,,
Canada/BC_3842755/2020,S,68,19B,Canada,Canada,British Columbia,,EPI_ISL_418820,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-09,Harrigan et al A,,
Canada/BC_3968175/2020,S,50,19B,Canada,Canada,British Columbia,,EPI_ISL_418821,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-10,Harrigan et al A,,
Canada/BC_3972884/2020,S,58,19B,Canada,Canada,British Columbia,,EPI_ISL_418822,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-10,Harrigan et al A,,
Canada/BC_3989992/2020,S,56,19B,Canada,Canada,British Columbia,,EPI_ISL_418823,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-09,Harrigan et al A,,
Canada/BC_4078583/2020,O,59,19A,Canada,Canada,British Columbia,,EPI_ISL_418824,Human,A3,BCCDC Public Health Laboratory,B.4,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-03,Harrigan et al A,,
Canada/BC_4118226/2020,S,53,19B,Canada,Canada,British Columbia,,EPI_ISL_418825,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-10,Harrigan et al A,,
Canada/BC_4143842/2020,O,27,19A,Canada,Canada,British Columbia,,EPI_ISL_418827,Human,A3,BCCDC Public Health Laboratory,B.4,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-04,Harrigan et al A,,
Canada/BC_4143868/2020,O,27,19A,Canada,Canada,British Columbia,,EPI_ISL_418828,Human,A3,BCCDC Public Health Laboratory,B.4,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-04,Harrigan et al A,,
Canada/BC_41851/2020,S,55,19B,Canada,Canada,British Columbia,,EPI_ISL_415584,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-02,Harrigan et al A,,
Canada/BC_4799711/2020,S,89,19B,Canada,Canada,British Columbia,,EPI_ISL_418830,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-09,Harrigan et al A,,
Canada/BC_5275718/2020,GH,70,20A,Canada,Canada,British Columbia,,EPI_ISL_418831,Human,A2a,BCCDC Public Health Laboratory,B.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-11,Harrigan et al A,,
Canada/BC_5282984/2020,O,28,19A,Canada,Canada,British Columbia,,EPI_ISL_418832,Human,A3,BCCDC Public Health Laboratory,B.4,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-11,Harrigan et al A,,
Canada/BC_5306970/2020,GH,42,20A,Canada,Canada,British Columbia,,EPI_ISL_418833,Human,A2a,BCCDC Public Health Laboratory,B.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-11,Harrigan et al A,,
Canada/BC_5522039/2020,G,26,20A,Canada,Canada,British Columbia,,EPI_ISL_418834,Human,A2a,BCCDC Public Health Laboratory,B.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-11,Harrigan et al A,,
Canada/BC_5979789/2020,GH,64,20A,Canada,Canada,British Columbia,,EPI_ISL_418835,Human,A2a,BCCDC Public Health Laboratory,B.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-11,Harrigan et al A,,
Canada/BC_6004567/2020,GH,76,20A,Canada,Canada,British Columbia,,EPI_ISL_418836,Human,A2a,BCCDC Public Health Laboratory,B.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-10,Harrigan et al A,,
Canada/BC_6129127/2020,GH,81,20A,Canada,Canada,British Columbia,,EPI_ISL_418837,Human,A2a,BCCDC Public Health Laboratory,B.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-10,Harrigan et al A,,
Canada/BC_6404889/2020,GH,40,20C,Canada,Canada,British Columbia,,EPI_ISL_418838,Human,A2a,BCCDC Public Health Laboratory,B.1.p2,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-12,Harrigan et al A,,
Canada/BC_64686/2020,S,68,19B,Canada,USA,British Columbia,,EPI_ISL_415586,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-05,Harrigan et al A,Grand Princess,
Canada/BC_6489864/2020,G,52,20A,Canada,Canada,British Columbia,,EPI_ISL_418839,Human,A2a,BCCDC Public Health Laboratory,B.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-10,Harrigan et al A,,
Canada/BC_65034/2020,O,58,19A,Canada,Asia,British Columbia,,EPI_ISL_415585,Human,A3,BCCDC Public Health Laboratory,B.4,Older,North America,Asia,Female,BCCDC Public Health Laboratory,,2020-03-04,Harrigan et al A,Asia,
Canada/BC_66353/2020,O,68,19A,Canada,Asia,British Columbia,,EPI_ISL_415587,Human,A3,BCCDC Public Health Laboratory,B.4,Older,North America,Asia,Male,BCCDC Public Health Laboratory,,2020-03-04,Harrigan et al A,Asia,
Canada/BC_69243/2020,O,43,19A,Canada,Asia,British Columbia,,EPI_ISL_415577,Human,A3,BCCDC Public Health Laboratory,B.4,Older,North America,Asia,Male,BCCDC Public Health Laboratory,,2020-02-20,Harrigan et al A,Asia,
Canada/BC_6981299/2020,S,59,19B,Canada,Canada,British Columbia,,EPI_ISL_418841,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-11,Harrigan et al A,,
Canada/BC_6997898/2020,G,60,20A,Canada,Canada,British Columbia,,EPI_ISL_418842,Human,A2a,BCCDC Public Health Laboratory,B.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-11,Harrigan et al A,,
Canada/BC_7277381/2020,S,55,19B,Canada,Canada,British Columbia,,EPI_ISL_418843,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-12,Harrigan et al A,,
Canada/BC_7515663/2020,GH,29,20C,Canada,Canada,British Columbia,,EPI_ISL_418845,Human,A2a,BCCDC Public Health Laboratory,B.1.p2,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-11,Harrigan et al A,,
Canada/BC_7553799/2020,G,59,20A,Canada,Canada,British Columbia,,EPI_ISL_418846,Human,A2a,BCCDC Public Health Laboratory,B.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-12,Harrigan et al A,,
Canada/BC_78548/2020,V,36,19A,Canada,Europe,British Columbia,,EPI_ISL_415590,Human,A1a,BCCDC Public Health Laboratory,B.2.1,Older,North America,Europe,Male,BCCDC Public Health Laboratory,,2020-03-05,Harrigan et al A,Europe,
Canada/BC_8150537/2020,S,86,19B,Canada,Canada,British Columbia,,EPI_ISL_418847,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-12,Harrigan et al A,,
Canada/BC_83109/2020,S,17,19B,Canada,Canada,British Columbia,,EPI_ISL_415588,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-05,Harrigan et al A,,
Canada/BC_83163/2020,S,55,19B,Canada,Canada,British Columbia,,EPI_ISL_415589,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-05,Harrigan et al A,,
Canada/BC_8486790/2020,G,42,20A,Canada,Canada,British Columbia,,EPI_ISL_418849,Human,A2a,BCCDC Public Health Laboratory,B.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-13,Harrigan et al A,,
Canada/BC_8606204/2020,S,45,19B,Canada,Canada,British Columbia,,EPI_ISL_418850,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-13,Harrigan et al A,,
Canada/BC_8622445/2020,S,90,19B,Canada,Canada,British Columbia,,EPI_ISL_418851,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-13,Harrigan et al A,,
Canada/BC_8718874/2020,S,83,19B,Canada,Canada,British Columbia,,EPI_ISL_418852,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-07,Harrigan et al A,,
Canada/BC_8896915/2020,S,,19B,Canada,Canada,British Columbia,,EPI_ISL_418854,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,,BCCDC Public Health Laboratory,,2020-03-11,Harrigan et al A,,
Canada/BC_8897642/2020,S,94,19B,Canada,Canada,British Columbia,,EPI_ISL_418855,Human,B1,BCCDC Public Health Laboratory,A.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-11,Harrigan et al A,,
Canada/BC_9345042/2020,G,34,20A,Canada,Canada,British Columbia,,EPI_ISL_418856,Human,A2a,BCCDC Public Health Laboratory,B.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-13,Harrigan et al A,,
Canada/BC_9345715/2020,G,51,20A,Canada,Canada,British Columbia,,EPI_ISL_418857,Human,A2a,BCCDC Public Health Laboratory,B.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-13,Harrigan et al A,,
Canada/BC_9446031/2020,V,33,19A,Canada,Canada,British Columbia,,EPI_ISL_418858,Human,A1a,BCCDC Public Health Laboratory,B.2.1,Older,North America,North America,Male,BCCDC Public Health Laboratory,,2020-03-13,Harrigan et al A,,
Canada/BC_9574898/2020,G,72,20A,Canada,Canada,British Columbia,,EPI_ISL_418859,Human,A2a,BCCDC Public Health Laboratory,B.1,Older,North America,North America,Female,BCCDC Public Health Laboratory,,2020-03-13,Harrigan et al A,,
Canada/MB_10/2020,GR,,20B,Canada,Canada,Manitoba,,EPI_ISL_418813,Human,A2a,Cadham Provincial Laboratory,B.1.1,Older,North America,North America,,National Microbiology Laboratory,,2020-03-13,Anna Majer et al,,
Canada/MB_2/2020,O,,19A,Canada,Canada,Manitoba,,EPI_ISL_429807,Human,,Cadham Provincial Laboratory,B.6,Older,North America,North America,,National Microbiology Laboratory,,2020-03-10,Anna Majer et al,,
Canada/MB_36/2020,GH,,20C,Canada,Canada,Manitoba,,EPI_ISL_429817,Human,A2a,Cadham Provincial Laboratory,B.1,Older,North America,North America,,National Microbiology Laboratory,,2020-03-14,Anna Majer et al,,
Canada/MB_37/2020,GH,,20A,Canada,Canada,Manitoba,,EPI_ISL_429818,Human,A2a,Cadham Provincial Laboratory,B.1,Older,North America,North America,,National Microbiology Laboratory,,2020-03-18,Anna Majer et al,,
Canada/MB_38/2020,S,,19B,Canada,Canada,Manitoba,,EPI_ISL_429819,Human,B1,Cadham Provincial Laboratory,A.1,Older,North America,North America,,National Microbiology Laboratory,,2020-03-18,Anna Majer et al,,
Canada/MB_39/2020,GH,,20C,Canada,Canada,Manitoba,,EPI_ISL_429820,Human,A2a,Cadham Provincial Laboratory,B.1,Older,North America,North America,,National Microbiology Laboratory,,2020-03-14,Anna Majer et al,,
Canada/MB_8/2020,S,,19B,Canada,Canada,Manitoba,,EPI_ISL_418812,Human,B1,Cadham Provincial Laboratory,A.1,Older,North America,North America,,National Microbiology Laboratory,,2020-03-12,Anna Majer et al,,
Canada/NB_1/2020,G,,20A,Canada,Canada,New Brunswick,,EPI_ISL_429806,Human,A2a,Dr. Georges-L.-Dumont University Hospital Centre,B.1,Older,North America,North America,,National Microbiology Laboratory,,2020-03-09,Anna Majer et al,,
Canada/NB_21/2020,G,,20A,Canada,Canada,New Brunswick,,EPI_ISL_429811,Human,A2a,Dr. Georges-L.-Dumont University Hospital Centre,B.1,Older,North America,North America,,National Microbiology Laboratory,,2020-03-12,Anna Majer et al,,
Canada/NB_35/2020,G,,20A,Canada,Canada,New Brunswick,,EPI_ISL_429816,Human,A2a,Dr. Georges-L.-Dumont University Hospital Centre,B.1,Older,North America,North America,,National Microbiology Laboratory,,2020-03-14,Anna Majer et al,,
Canada/NB_6/2020,G,,20A,Canada,Canada,New Brunswick,,EPI_ISL_418811,Human,A2a,Dr. Georges-L.-Dumont University Hospital Centre,B.1,Older,North America,North America,,National Microbiology Laboratory,,2020-03-12,Anna Majer et al,,
Canada/NL_100/2020,GH,,20C,Canada,Canada,Newfoundland and Labrador,,EPI_ISL_469239,Human,A2a,Public Health Laboratory,B.1,3-7 days ago,North America,North America,,National Microbiology Laboratory,,2020-03-22,Anna Majer et al,,
Canada/NL_101/2020,GH,,20C,Canada,Canada,Newfoundland and Labrador,,EPI_ISL_469240,Human,A2a,Public Health Laboratory,B.1,3-7 days ago,North America,North America,,National Microbiology Laboratory,,2020-03-22,Anna Majer et al,,
Canada/NL_34/2020,S,,19B,Canada,Canada,Newfoundland and Labrador,,EPI_ISL_429815,Human,B1,Public Health Laboratory,A.1,Older,North America,North America,,National Microbiology Laboratory,,2020-03-15,Anna Majer et al,,
Canada/NL_82/2020,GH,,20A,Canada,Canada,Newfoundland and Labrador,,EPI_ISL_469224,Human,A2a,Public Health Laboratory,B.1,3-7 days ago,North America,North America,,National Microbiology Laboratory,,2020-03-22,Anna Majer et al,,
Canada/NL_83/2020,GH,,20A,Canada,Canada,Newfoundland and Labrador,,EPI_ISL_469225,Human,A2a,Public Health Laboratory,B.1,3-7 days ago,North America,North America,,National Microbiology Laboratory,,2020-03-21,Anna Majer et al,,
Canada/NL_84/2020,GH,,20C,Canada,Canada,Newfoundland and Labrador,,EPI_ISL_469226,Human,A2a,Public Health Laboratory,B.1,3-7 days ago,North America,North America,,National Microbiology Laboratory,,2020-03-22,Anna Majer et al,,
